frameIndex,coord,centroid
32979,"[(24.646193, 229.81992), (20.344372, 15.472786), (65.7415, 300.83768), (73.73894, 240.29565), (135.61145, 229.16933), (179.84937, 243.66498), (207.6006, 255.92192), (76.70409, 214.68315), (93.266136, 315.42493)]","(97.50029455555554, 227.2544828888889)"
32980,"[(24.664928, 230.00833), (20.20699, 15.722741), (63.470104, 298.94547), (73.47628, 240.27945), (136.48572, 228.55666), (180.43756, 242.80829), (205.93422, 256.70822), (76.72597, 214.70938), (93.19456, 317.07175)]","(97.17737022222222, 227.20114344444445)"
32981,"[(25.161142, 230.61552), (20.244587, 16.076195), (61.672764, 297.3759), (73.5168, 240.48369), (136.83434, 227.61856), (180.62369, 243.2303), (205.25546, 256.99936), (76.801704, 214.64404), (92.2456, 317.89066)]","(96.92845411111111, 227.21491388888887)"
32982,"[(25.466518, 230.91), (20.133883, 16.232038), (63.49908, 298.89145), (73.55266, 240.5837), (137.35999, 227.38765), (181.24437, 242.59769), (203.90463, 257.19055), (76.88697, 214.57062), (91.91269, 318.90317)]","(97.10675455555557, 227.47409644444446)"
32983,"[(25.622175, 231.04143), (19.947533, 16.286531), (65.715904, 300.62866), (73.28189, 240.44121), (137.25432, 226.61751), (181.85641, 243.6115), (202.5747, 257.98093), (76.67254, 214.30116), (90.87986, 320.00308)]","(97.08948133333334, 227.87911233333332)"
32984,"[(25.544546, 230.97386), (19.778687, 16.352158), (65.883, 300.38806), (73.00084, 240.21805), (137.54419, 226.05305), (181.92651, 243.8412), (201.55438, 258.9284), (76.58484, 214.21225), (89.63987, 321.01553)]","(96.82854033333334, 227.998062)"
32985,"[(25.444271, 230.90437), (19.572603, 16.26553), (64.97383, 298.8254), (72.96418, 240.30284), (137.61388, 224.94124), (182.1303, 243.35751), (200.4866, 259.36023), (76.028786, 213.52295), (88.52507, 321.8558)]","(96.41550222222223, 227.70398555555553)"
32986,"[(25.446768, 231.09024), (19.46155, 16.381983), (64.32594, 297.84363), (72.93593, 240.45247), (138.16965, 224.40915), (182.24672, 243.48543), (199.00746, 258.9087), (75.26118, 212.52141), (87.52629, 323.65488)]","(96.04238755555555, 227.63865477777776)"
32987,"[(25.401785, 231.17784), (19.260464, 16.739658), (64.18254, 297.21866), (72.94992, 240.65842), (138.73665, 223.81139), (182.32864, 243.6521), (197.75322, 258.8685), (74.55495, 211.69772), (86.46033, 325.62738)]","(95.73649988888889, 227.71685199999996)"
32988,"[(25.492327, 231.41568), (19.41205, 17.491493), (64.47771, 296.93182), (73.214134, 241.07796), (138.98358, 223.33025), (181.91673, 243.06049), (195.36124, 258.06436), (74.19394, 211.1933), (85.92655, 327.98395)]","(95.44202899999999, 227.83881144444442)"
32989,"[(25.6131, 231.66437), (19.473608, 17.707748), (65.31546, 297.0268), (73.71556, 241.60298), (139.27664, 223.29234), (181.70326, 242.12535), (192.84073, 258.2665), (73.82005, 210.67091), (86.651306, 330.42896)]","(95.37885711111112, 228.08732866666665)"
32990,"[(25.460058, 231.67271), (19.597483, 18.243477), (65.77721, 296.89706), (74.091385, 241.97934), (139.10684, 222.75977), (180.15869, 239.16655), (191.44968, 259.4574), (73.6531, 210.38611), (87.1323, 331.92865)]","(95.15852733333332, 228.054563)"
32991,"[(25.14485, 231.58054), (19.24578, 18.050915), (65.99472, 296.51328), (74.1309, 242.05547), (139.00027, 221.98883), (179.47357, 237.58656), (189.79295, 259.98013), (73.56916, 210.11877), (86.67289, 333.013)]","(94.78056555555557, 227.87638833333332)"
32992,"[(25.126026, 231.66092), (18.952448, 17.895344), (66.315125, 296.32272), (74.31024, 242.31274), (139.4058, 221.71037), (178.76872, 235.75946), (188.5121, 259.9526), (73.57389, 210.02753), (85.5728, 333.9081)]","(94.50412766666668, 227.72775377777776)"
32993,"[(24.998167, 231.68591), (19.119295, 18.181358), (66.53395, 296.28827), (74.376335, 242.54199), (139.05653, 220.41916), (178.89272, 234.92755), (186.84964, 259.5715), (73.49134, 209.93816), (84.73942, 335.0728)]","(94.22859966666667, 227.62518866666667)"
32994,"[(24.967749, 231.72554), (18.960627, 18.050047), (66.768654, 296.2761), (74.631775, 242.90651), (139.16388, 219.47765), (179.32997, 235.02983), (185.46024, 260.14264), (73.72225, 210.04248), (84.614815, 336.32773)]","(94.17999555555556, 227.77539188888892)"
32995,"[(24.979889, 231.82684), (18.399, 17.445333), (66.97368, 296.1936), (74.45981, 242.91754), (139.57242, 218.70949), (179.73816, 235.66986), (184.47266, 260.5643), (73.678474, 209.91277), (83.46686, 337.34915)]","(93.971217, 227.8432092222222)"
32996,"[(25.010359, 231.91254), (17.54976, 16.400442), (67.19879, 296.18356), (74.23375, 242.84528), (139.79872, 216.89285), (179.38022, 235.37628), (183.08675, 260.25903), (73.61607, 209.60376), (81.51216, 338.2488)]","(93.48739766666667, 227.5247268888889)"
32997,"[(24.92093, 231.93738), (16.891161, 15.608606), (67.59802, 296.26907), (73.82723, 242.64076), (140.94536, 215.44505), (179.16211, 235.42386), (181.92378, 260.42392), (73.687675, 209.31905), (80.2532, 339.97586)]","(93.24549622222223, 227.449284)"
32998,"[(24.868322, 231.92499), (16.314419, 15.018864), (67.73934, 296.15527), (73.57662, 242.76991), (138.47719, 210.64975), (179.06343, 235.6261), (181.0701, 260.8367), (73.69599, 209.15054), (79.58198, 341.35675)]","(92.70971011111112, 227.05431933333335)"
32999,"[(24.834782, 231.96782), (16.349483, 15.290554), (67.93045, 296.1211), (73.33335, 242.87048), (139.6922, 211.22203), (178.43594, 235.48662), (179.8969, 261.25818), (73.64307, 208.95189), (78.79498, 342.23096)]","(92.54568388888887, 227.26662600000003)"
33000,"[(25.020601, 232.41504), (15.259587, 13.9548), (68.21886, 296.32474), (72.914, 243.03696), (140.04813, 210.82288), (176.4156, 233.38527), (178.22307, 262.30737), (73.60934, 208.7979), (78.66157, 343.23145)]","(92.04119533333333, 227.14182333333335)"
33001,"[(25.216763, 232.77528), (14.727506, 13.359699), (68.30145, 296.37943), (72.625885, 243.10095), (138.76126, 208.12456), (175.91615, 233.43613), (176.47534, 263.30533), (73.516, 208.66765), (78.62409, 344.9644)]","(91.5738271111111, 227.12371433333334)"
33002,"[(25.174015, 232.83005), (14.369537, 13.098168), (68.36995, 296.423), (72.97116, 243.18153), (140.71596, 208.4347), (175.64651, 233.90462), (175.91321, 265.19263), (73.527336, 208.31598), (77.42951, 346.2007)]","(91.56857644444443, 227.50904200000002)"
33003,"[(25.063705, 232.77444), (14.084903, 12.882586), (68.42068, 296.47656), (73.11143, 243.09698), (142.02032, 209.01035), (176.25685, 235.18272), (174.52057, 264.98654), (73.489555, 208.11723), (77.27464, 347.57257)]","(91.582517, 227.78888622222223)"
33004,"[(25.002157, 232.79898), (14.264573, 13.214616), (68.517, 296.47116), (73.51987, 243.14409), (143.53667, 210.45987), (175.10709, 234.52927), (173.7368, 264.8567), (73.62382, 208.1003), (77.629555, 348.91974)]","(91.65972611111111, 228.0549695555556)"
33005,"[(25.03035, 232.70418), (14.180955, 12.992931), (68.748314, 296.5279), (73.61657, 242.90941), (144.3266, 211.37383), (174.61427, 233.85764), (173.23811, 266.03064), (73.935684, 208.30081), (77.23275, 349.92963)]","(91.65817811111111, 228.29188566666664)"
33006,"[(24.918257, 232.6626), (14.194702, 12.9611845), (68.599594, 296.36603), (74.07546, 243.29279), (144.6026, 211.41301), (173.73413, 232.72481), (172.19359, 266.18408), (73.70381, 208.0972), (76.28606, 351.1898)]","(91.36757811111111, 228.32127827777776)"
33007,"[(24.745428, 232.52876), (14.237779, 12.894937), (68.69373, 296.38568), (74.335365, 243.13487), (144.33565, 211.09435), (172.21321, 231.06522), (171.27013, 266.36108), (73.00897, 207.40181), (75.123665, 352.51517)]","(90.88488077777777, 228.15354188888887)"
33008,"[(24.560364, 232.46501), (14.228312, 12.826574), (68.98631, 296.40634), (75.0545, 243.75392), (144.71924, 210.99069), (170.81038, 230.12721), (170.41588, 266.34912), (71.572876, 205.86017), (73.79392, 354.00314)]","(90.46019799999999, 228.0869082222222)"
33009,"[(24.28991, 232.48045), (14.27421, 12.801652), (69.0875, 296.32214), (75.81932, 243.62), (145.49776, 210.509), (169.48761, 229.1959), (169.1761, 265.89557), (70.77754, 205.04703), (73.216896, 355.86063)]","(90.18076066666669, 227.97026355555556)"
33010,"[(24.249426, 232.66634), (14.437759, 12.878442), (69.31661, 296.39334), (76.39523, 243.29306), (146.6451, 210.62543), (168.82472, 229.06357), (166.93956, 265.72934), (70.37387, 204.85063), (74.17549, 358.21188)]","(90.15086277777777, 228.19022577777775)"
33011,"[(24.242723, 233.06047), (14.54116, 12.916468), (69.429085, 296.52048), (76.68078, 243.18137), (145.69873, 208.45126), (168.95038, 230.08311), (165.48013, 266.18896), (70.18856, 204.8624), (74.411415, 359.7684)]","(89.958107, 228.33699088888886)"
33012,"[(24.165567, 233.34357), (14.6076765, 12.864567), (69.39917, 296.64615), (76.859825, 243.11185), (147.6137, 209.82533), (168.49268, 230.20209), (164.10606, 267.54587), (69.831795, 204.7446), (75.50943, 361.25693)]","(90.06510038888888, 228.83788411111112)"
33013,"[(23.842426, 233.52179), (14.668177, 12.930419), (69.3604, 296.62198), (76.85498, 242.93283), (146.73482, 207.31024), (168.30264, 229.99843), (163.2112, 268.4473), (69.53014, 204.52905), (75.332825, 362.41678)]","(89.75973422222222, 228.74542433333337)"
33014,"[(23.917686, 234.02036), (14.657626, 12.973064), (69.31662, 296.75357), (76.79242, 242.84389), (146.77484, 206.19128), (167.023, 229.30428), (162.15, 268.53442), (68.97978, 204.34128), (74.90004, 363.2214)]","(89.39022355555556, 228.68706044444446)"
33015,"[(23.90079, 234.32358), (14.68403, 13.06864), (69.29032, 296.83917), (76.706184, 242.8211), (148.30223, 207.19246), (166.522, 229.8394), (161.41557, 268.47632), (68.68437, 204.20848), (76.23917, 365.01624)]","(89.5271848888889, 229.08726555555555)"
33016,"[(23.814213, 234.45349), (14.3439455, 12.686362), (69.28201, 296.8343), (76.71162, 242.79527), (146.17862, 203.81635), (165.86864, 230.34958), (160.41376, 268.80206), (68.64047, 204.24037), (76.17152, 366.17322)]","(89.04719983333334, 228.9056668888889)"
33017,"[(23.571997, 234.57759), (14.123836, 12.349367), (69.14781, 296.73325), (76.65631, 242.73312), (146.42726, 203.16881), (165.12648, 230.27597), (159.35825, 269.25726), (68.66484, 204.24286), (75.63246, 367.1059)]","(88.74547144444445, 228.9382363333333)"
33018,"[(23.54837, 235.07492), (13.51217, 11.495379), (69.01804, 296.68097), (76.84645, 242.89082), (143.91808, 198.68663), (164.66095, 230.07278), (158.82822, 269.88852), (68.23275, 203.67145), (74.23351, 368.22763)]","(88.08872666666667, 228.52101100000002)"
33019,"[(23.52437, 235.2563), (13.13287, 10.947687), (68.881355, 296.54208), (77.07862, 243.07239), (143.80968, 197.60297), (164.5019, 230.13329), (158.28806, 270.01422), (67.96901, 203.20021), (73.04475, 369.2335)]","(87.80340166666666, 228.44473855555555)"
33020,"[(23.359888, 235.52403), (13.686681, 11.728022), (68.758934, 296.45227), (77.20842, 243.07669), (143.89078, 197.46962), (164.08835, 230.90903), (158.16016, 270.09793), (68.095665, 202.9317), (71.79571, 370.68976)]","(87.6716208888889, 228.76433911111113)"
33021,"[(23.209951, 235.649), (14.379991, 12.784886), (68.60882, 296.34653), (77.28381, 242.68753), (144.97293, 198.34344), (163.75566, 231.59856), (157.67923, 270.28073), (68.156265, 202.52013), (70.586555, 372.28207)]","(87.62591244444444, 229.16587511111115)"
33022,"[(22.94515, 235.7429), (13.84132, 12.338854), (68.732475, 296.42853), (77.33058, 242.45335), (145.67325, 198.20306), (163.44244, 231.0168), (157.0375, 270.41635), (68.15403, 202.31949), (69.05368, 373.00467)]","(87.3567138888889, 229.10266711111112)"
33023,"[(22.869116, 236.39471), (13.680369, 12.594085), (68.761536, 296.42633), (77.66271, 242.51894), (147.1819, 199.31679), (162.20459, 231.28047), (156.40506, 270.86526), (68.19177, 202.13435), (68.23182, 373.83502)]","(87.24320788888889, 229.48510611111112)"
33024,"[(22.802807, 236.89691), (13.078039, 12.358623), (68.81962, 296.4593), (77.64751, 242.29736), (147.73804, 199.53435), (161.34193, 231.67377), (155.48418, 271.22867), (68.35169, 202.02287), (68.14164, 374.74713)]","(87.04505066666667, 229.69099811111113)"
33025,"[(22.911081, 236.65292), (12.663919, 12.054651), (68.86506, 296.5063), (77.71836, 242.09677), (148.04317, 199.29845), (161.27686, 232.73254), (154.40414, 271.5813), (68.40911, 201.71785), (67.96597, 375.46945)]","(86.91751888888888, 229.79002566666668)"
33026,"[(22.261982, 236.47209), (12.185543, 11.851012), (68.79341, 296.4585), (77.79903, 241.85326), (148.14365, 199.21477), (161.44012, 232.273), (153.44554, 272.3772), (68.542145, 201.50984), (68.75176, 376.81473)]","(86.81813111111111, 229.86937799999998)"
33027,"[(21.655312, 236.15152), (11.908194, 12.102641), (68.70621, 296.4048), (77.973976, 241.71451), (147.79291, 197.96283), (161.06409, 232.72865), (152.25769, 273.58105), (68.27438, 200.88094), (69.06631, 377.9975)]","(86.52211911111111, 229.94716011111112)"
33028,"[(21.480013, 235.98436), (11.652495, 12.222196), (68.66786, 296.40506), (78.0144, 241.26947), (148.34085, 197.32416), (159.65164, 232.03477), (151.0971, 274.12946), (67.69945, 199.93791), (69.833954, 379.42953)]","(86.27086244444445, 229.85965733333336)"
33029,"[(21.0037, 235.66052), (11.462767, 12.321546), (68.537056, 296.33362), (78.349174, 240.80621), (148.49556, 195.49275), (158.7518, 233.02151), (149.50336, 273.838), (67.167145, 199.1691), (69.67194, 379.99432)]","(85.88250022222223, 229.62639733333333)"
33030,"[(20.614918, 235.01845), (11.12712, 12.1906805), (68.59068, 296.37027), (78.465675, 240.19426), (148.9096, 194.50537), (157.60161, 233.71608), (149.43361, 274.7184), (66.69919, 198.57486)]","(87.680300375, 210.6610463125)"
33031,"[(20.579079, 234.65007), (11.237343, 12.370076), (69.013954, 296.6332), (78.88769, 239.97311), (149.2184, 193.90085), (155.90329, 233.10715), (148.95428, 275.54138), (66.7193, 198.4364)]","(87.564167, 210.5765295)"
33032,"[(21.056099, 234.23705), (11.56275, 12.674096), (69.03103, 296.64902), (79.231544, 239.71674), (149.59999, 193.2932), (155.55357, 233.68387), (148.37814, 275.88187), (67.14937, 198.52405)]","(87.695311625, 210.582487)"
33033,"[(21.517603, 233.933), (11.71998, 12.7540245), (69.03731, 296.68094), (79.17381, 239.11949), (149.28818, 191.37589), (155.76814, 234.91125), (148.21217, 276.22455), (67.55898, 198.03253)]","(87.78452162500001, 210.3789593125)"
33034,"[(21.778893, 233.31277), (12.142405, 12.993839), (69.00205, 296.69147), (79.49983, 238.8775), (149.69641, 190.71866), (155.64894, 235.63383), (148.25201, 276.8258), (67.554825, 197.20517), (67.63096, 384.79507)]","(85.68959144444446, 229.6726787777778)"
33035,"[(22.174742, 232.80023), (11.688401, 12.791764), (68.825356, 296.63455), (79.87301, 238.80225), (149.80736, 189.71227), (155.32095, 235.87662), (148.05583, 277.32904), (67.86249, 196.81844), (68.9426, 386.30838)]","(85.838971, 229.6748382222222)"
33036,"[(22.453936, 232.24518), (11.114836, 12.394847), (68.47345, 296.43668), (79.922905, 238.5667), (149.93433, 189.07208), (155.23808, 236.23814), (147.49171, 277.22604), (67.61169, 196.27179), (69.4527, 387.46826)]","(85.74373744444443, 229.54663522222225)"
33037,"[(22.609552, 231.82068), (10.799551, 12.555514), (68.24766, 296.3001), (80.036476, 238.47655), (150.18575, 188.97128), (154.82806, 236.12581), (146.65161, 277.03064), (68.09374, 196.58206), (69.67366, 388.7154)]","(85.68067322222223, 229.6197815555555)"
33038,"[(23.26341, 232.08339), (10.674206, 12.8365965), (68.23221, 296.3059), (80.37797, 238.71088), (149.83488, 188.20024), (154.33344, 235.81383), (144.57213, 277.25165), (67.47334, 195.45769), (68.67982, 389.35245)]","(85.27126733333333, 229.55695849999998)"
33039,"[(23.641405, 232.07228), (10.635581, 13.049326), (68.29605, 296.3167), (80.62343, 238.88031), (149.2937, 187.19443), (153.88716, 235.38597), (142.96823, 276.72098), (68.44873, 196.015)]","(87.22428574999999, 209.45437450000003)"
33040,"[(23.555779, 231.8568), (10.65966, 13.361193), (68.3775, 296.3737), (80.564354, 238.76572), (149.13231, 186.34406), (153.82874, 235.78885), (141.19215, 275.90192), (70.226685, 197.48792)]","(87.19214724999999, 209.485020375)"
33041,"[(23.337606, 231.63214), (10.564895, 13.323616), (68.407135, 296.44318), (80.54317, 238.80084), (148.98619, 185.8583), (153.35692, 235.58131), (139.88965, 276.105), (70.28509, 197.47237)]","(86.92133199999999, 209.40209449999998)"
33042,"[(23.322893, 231.62073), (10.264432, 13.558124), (68.64194, 296.57892), (80.21893, 238.75), (148.95863, 185.6122), (152.5851, 236.07953), (139.46419, 277.10138), (68.59461, 195.9015)]","(86.506340625, 209.400298)"
33043,"[(22.92905, 231.36345), (10.264666, 14.03605), (68.708244, 296.63138), (80.099815, 238.88312), (149.1416, 185.45445), (151.49184, 236.07553), (138.83774, 278.1046), (68.1421, 195.8687)]","(86.201881875, 209.55216000000001)"
33044,"[(22.51001, 231.12436), (10.064946, 14.292255), (68.75423, 296.68243), (80.04159, 238.90157), (149.3682, 185.029), (150.42238, 236.024), (138.44792, 278.899), (67.98983, 196.24762)]","(85.94988824999999, 209.65002937500003)"
33045,"[(21.790245, 230.6321), (9.446014, 14.201573), (68.71325, 296.68948), (79.94014, 238.70757), (149.24213, 184.31534), (149.86673, 236.46129), (136.92545, 278.9891), (67.66778, 195.95909), (62.359253, 390.87183)]","(82.88344355555554, 229.6474858888889)"
33046,"[(21.319939, 230.31842), (9.591545, 13.961839), (68.71176, 296.7185), (80.11345, 238.75815), (149.06355, 183.51108), (149.48819, 237.22392), (135.90337, 279.37863), (67.44315, 195.72346), (65.267365, 392.2547)]","(82.98914655555558, 229.76096655555557)"
33047,"[(21.0276, 230.36882), (10.489831, 13.581305), (68.68857, 296.71295), (80.114174, 238.51024), (148.95236, 182.99945), (148.89276, 237.66008), (135.13208, 279.5844), (67.07629, 195.6786), (65.28711, 391.36005)]","(82.85119722222221, 229.60621055555555)"
33048,"[(20.892849, 230.48235), (10.719907, 14.008693), (68.66979, 296.7251), (80.14165, 238.29271), (147.38297, 180.66792), (148.92549, 238.18365), (134.86613, 279.66876), (66.68729, 195.44017), (65.7326, 391.791)]","(82.66874177777778, 229.47337255555556)"
33049,"[(20.647732, 230.47282), (10.525022, 14.38996), (68.63417, 296.73004), (79.94657, 238.00674), (148.7506, 182.29471), (148.2253, 238.153), (134.83394, 279.9898), (66.448044, 195.50648), (65.92688, 392.60284)]","(82.65980644444444, 229.79404333333332)"
33050,"[(20.427073, 230.45456), (10.385805, 14.331289), (68.49349, 296.62482), (80.04583, 238.01115), (149.40834, 182.93127), (147.28804, 238.72131), (134.75613, 280.2906), (65.66651, 195.0837), (64.634705, 391.55933)]","(82.34510255555557, 229.77866988888886)"
33051,"[(20.254486, 230.43324), (10.5051985, 14.387379), (68.53217, 296.6319), (78.83897, 236.47705), (149.87114, 183.01059), (146.40623, 239.6037), (134.18019, 280.67474), (65.08524, 194.87337), (60.613525, 389.92877)]","(81.58746105555555, 229.55785988888886)"
33052,"[(19.989334, 230.41943), (11.011451, 15.106041), (68.4518, 296.59753), (78.84733, 236.3872), (150.1526, 183.4156), (145.54279, 239.94284), (133.75941, 281.29932), (65.0922, 195.30174), (62.171455, 391.4943)]","(81.6687077777778, 229.9960001111111)"
33053,"[(19.803564, 230.66805), (11.282948, 15.605561), (68.28836, 296.58704), (78.23669, 235.71214), (150.42986, 183.92038), (145.23096, 240.33292), (133.42421, 281.49985), (65.295296, 195.81256), (62.43909, 392.35043)]","(81.603442, 230.27654788888887)"
33054,"[(19.61956, 231.0421), (10.931692, 15.480139), (68.15452, 296.525), (77.222046, 234.54869), (150.72136, 184.15843), (144.94734, 240.59036), (132.51993, 281.41068), (65.13081, 195.97835), (63.438095, 393.25888)]","(81.40948366666666, 230.3325143333333)"
33055,"[(19.289818, 231.28194), (10.956954, 16.407087), (68.02031, 296.41174), (76.90519, 234.01562), (150.53271, 183.89911), (145.0703, 241.09282), (131.74382, 282.261), (64.90592, 196.12552), (63.331448, 393.44302)]","(81.19516333333334, 230.54865077777782)"
33056,"[(18.796988, 231.37193), (9.562093, 17.02081), (68.00206, 296.43393), (76.996925, 233.92763), (150.14566, 183.40495), (145.17593, 241.30437), (130.4955, 282.75742), (64.487976, 196.00499), (63.536957, 393.88998)]","(80.8000098888889, 230.67955666666663)"
33057,"[(18.47753, 231.46895), (9.374487, 17.732334), (68.066444, 296.5292), (77.6658, 234.42886), (149.0422, 182.11711), (145.03717, 241.50401), (129.4539, 283.04285), (63.71901, 195.46779), (63.60043, 394.49658)]","(80.49299677777779, 230.7541871111111)"
33058,"[(18.143469, 231.78235), (9.427041, 18.175184), (68.08179, 296.5657), (78.151535, 234.32863), (148.76, 181.75789), (144.72205, 241.41963), (128.48466, 283.10046), (63.108723, 195.0892), (63.544487, 394.47742)]","(80.2693061111111, 230.74405155555556)"
33059,"[(17.717918, 232.57281), (8.330148, 17.128614), (68.19765, 296.55502), (77.101715, 232.83647), (147.39078, 179.94843), (144.26611, 241.37073), (127.34961, 283.0349), (62.688236, 194.72864), (64.148224, 394.59897)]","(79.68782122222223, 230.3082871111111)"
33060,"[(17.857435, 232.61961), (8.829487, 17.994843), (68.20818, 296.52203), (79.95169, 235.05914), (146.24365, 178.56386), (143.85535, 241.44232), (127.043915, 284.13593), (62.361923, 194.38371), (63.940697, 394.63382)]","(79.81025855555555, 230.59502922222222)"
33061,"[(17.149628, 232.75803), (8.893999, 18.232174), (68.13249, 296.42206), (82.54339, 237.30605), (145.6046, 178.01071), (143.59067, 241.81474), (126.467064, 285.04047), (62.144566, 194.18036), (64.15639, 395.12573)]","(79.85364411111112, 230.98781377777777)"
33062,"[(16.242826, 232.75542), (8.804756, 18.293642), (67.94833, 296.15677), (82.33422, 236.92598), (144.79002, 177.10991), (143.0923, 242.12714), (126.588585, 286.00613), (61.76261, 193.7654), (64.192314, 395.27533)]","(79.52844011111111, 230.93508022222224)"
33063,"[(16.06577, 232.93454), (8.6504345, 18.20728), (67.707695, 295.8916), (82.32644, 236.64647), (143.77711, 176.08658), (142.35594, 242.39748), (126.74493, 286.29086), (61.552773, 193.44984), (63.49247, 395.34137)]","(79.1859513888889, 230.80511333333334)"
33064,"[(16.11743, 232.77388), (9.289501, 19.165136), (67.87675, 295.8586), (84.524704, 238.46231), (143.30063, 175.71257), (141.91121, 242.79715), (126.675705, 286.4309), (61.800144, 193.46754), (62.90617, 395.81833)]","(79.37802711111111, 231.16515733333335)"
33065,"[(16.138664, 232.65465), (9.431713, 19.403675), (68.04614, 295.91476), (85.327644, 238.71802), (142.8479, 175.6249), (140.62718, 242.02141), (126.40726, 286.38083), (61.98518, 193.40016), (61.551136, 396.00677)]","(79.15142411111111, 231.12501944444446)"
33066,"[(16.25341, 232.70367), (9.477597, 19.49875), (68.268654, 296.03793), (85.12675, 238.0649), (141.97226, 175.45912), (140.14636, 242.02028), (126.21017, 286.58652), (62.080746, 193.25789), (60.698475, 396.88556)]","(78.91493577777777, 231.16829111111116)"
33067,"[(16.281773, 232.8181), (9.447121, 19.519073), (68.49294, 296.17722), (84.761, 237.38934), (141.37383, 175.23335), (140.0771, 242.60905), (125.93559, 287.00906), (61.989315, 192.81808), (59.391075, 397.8867)]","(78.63886044444445, 231.27333033333332)"
33068,"[(16.262215, 232.95996), (9.526707, 19.744268), (68.70578, 296.30566), (84.598015, 236.72957), (141.35211, 175.3603), (140.10562, 242.99654), (125.39678, 287.30692), (61.86857, 192.38576)]","(80.976974625, 210.47362225)"
33069,"[(16.349083, 233.01564), (9.25817, 19.373995), (68.810036, 296.40744), (84.12719, 235.94275), (141.17155, 175.15657), (139.53287, 243.09392), (124.9023, 287.6683), (61.653416, 191.69562)]","(80.725576875, 210.29427937499997)"
33070,"[(16.70948, 233.31326), (9.436812, 19.72496), (68.804695, 296.46283), (84.0776, 235.66556), (140.72467, 174.65733), (138.62701, 243.8615), (124.9216, 289.29584), (61.50815, 191.22902)]","(80.601252125, 210.52628750000002)"
33071,"[(17.160929, 233.78242), (9.497126, 19.925713), (68.77931, 296.47192), (84.09949, 235.71278), (140.04085, 174.08119), (138.26753, 244.4951), (124.49031, 289.8699), (61.447594, 190.67924)]","(80.472892375, 210.627282875)"
33072,"[(17.573164, 234.13368), (9.433106, 19.97352), (68.81602, 296.53143), (83.90018, 235.80128), (139.57294, 173.8368), (138.13948, 244.96011), (124.456184, 292.6087), (61.237804, 190.01723)]","(80.39110974999998, 210.98284375)"
33073,"[(17.965668, 234.39452), (9.419615, 20.009775), (68.93847, 296.53302), (83.78526, 236.03914), (139.00299, 173.58316), (138.06097, 245.15117), (125.23042, 295.02554), (61.479122, 189.7231)]","(80.485314375, 211.30742812499997)"
33074,"[(18.030907, 234.47073), (9.433568, 20.133392), (68.918144, 296.4959), (83.67293, 236.23175), (138.65948, 173.69699), (137.92735, 245.14777), (124.77424, 295.84656), (61.9271, 189.84515)]","(80.417964875, 211.48353025)"
33075,"[(18.166334, 234.53944), (9.364655, 20.0943), (69.17214, 296.48663), (83.47964, 236.39351), (137.98045, 173.50528), (137.77756, 245.18561), (124.483955, 296.33966), (62.206974, 189.70361)]","(80.32896350000001, 211.531005)"
33076,"[(18.29262, 234.40253), (9.25705, 20.0414), (69.404594, 296.53763), (83.57966, 236.73299), (136.82207, 172.57828), (137.00241, 244.75766), (124.33961, 296.74902), (62.614296, 189.70732)]","(80.16403875, 211.43835374999998)"
33077,"[(18.461214, 234.51834), (9.350393, 20.256523), (69.58635, 296.60114), (83.547325, 236.89972), (136.08905, 172.31644), (136.59012, 244.69247), (124.88292, 297.47397), (62.816933, 189.42879)]","(80.16553812499998, 211.523424125)"
33078,"[(18.645708, 234.86053), (9.656455, 20.819578), (69.93178, 296.2263), (83.45446, 237.04439), (135.46846, 171.91452), (136.62865, 245.0789), (125.72615, 298.3224), (62.911373, 189.22064)]","(80.3028795, 211.68590725)"
33079,"[(18.508913, 234.88411), (9.784136, 21.176561), (70.18132, 296.08545), (83.37336, 237.34149), (134.8336, 171.53926), (136.58406, 245.5363), (126.17334, 298.6708), (62.761047, 189.00298)]","(80.27497199999999, 211.779618875)"
33080,"[(18.213133, 234.69516), (9.814405, 21.519218), (70.30211, 295.95496), (83.3516, 237.71095), (134.64034, 171.81502), (135.74585, 245.38449), (125.90008, 298.70493), (62.68014, 188.76988)]","(80.08095725000001, 211.81932600000002)"
33081,"[(18.1039, 234.54054), (10.1053095, 22.004877), (70.36837, 295.81638), (83.445625, 238.04411), (134.59749, 171.86743), (134.98386, 244.97456), (125.89983, 298.96033), (62.815773, 188.52336)]","(80.0400196875, 211.841448375)"
33082,"[(17.865114, 234.30783), (9.9783535, 21.920624), (70.4675, 295.77133), (83.66236, 238.19554), (134.52519, 171.95474), (134.16115, 244.38292), (125.73495, 299.16562), (63.039185, 188.33629)]","(79.92922531250001, 211.75436175)"
33083,"[(17.842833, 234.20616), (9.89896, 22.070496), (70.43238, 295.6793), (84.15623, 238.58333), (134.2786, 171.91476), (134.75053, 245.38683), (125.07151, 298.7611), (62.98387, 187.86824)]","(79.92686412500001, 211.808777)"
33084,"[(17.678028, 234.05153), (9.125663, 21.492792), (70.40552, 295.62796), (84.19755, 238.68584), (134.29744, 172.26291), (135.55609, 246.56393), (124.9862, 298.8175), (63.20235, 187.67339)]","(79.93110512500002, 211.89698149999998)"
