frameIndex,coord,centroid
29,"[(212.67, 254.83589), (302.4778, 228.50687), (160.92656, 185.63026), (128.01126, 322.44977), (33.412308, 215.62898), (224.40761, 50.632393), (148.79776, 387.3853), (51.165585, 181.47935), (48.640823, 16.602453), (100.00104, 188.63133)]","(141.0510746, 203.1782596)"
30,"[(213.37093, 253.16026), (302.44138, 228.18039), (162.73955, 186.34576), (129.3708, 322.80133), (33.4717, 214.9198), (224.75859, 49.402546), (150.7697, 385.817), (50.98763, 181.31706), (48.616062, 16.512524), (99.23103, 190.68419)]","(141.5757372, 202.91408600000003)"
31,"[(213.84816, 251.17572), (302.4738, 227.5296), (163.69011, 186.05063), (130.90129, 323.5527), (33.54047, 214.12352), (225.27013, 48.3442), (153.28497, 385.8379), (50.64858, 181.01683), (48.59983, 16.382496), (98.86467, 193.08755)]","(142.112201, 202.7101146)"
32,"[(214.17097, 249.14755), (302.77573, 226.93855), (163.70203, 184.77762), (132.2309, 323.87006), (34.462616, 213.78584), (226.5046, 47.43858), (155.41878, 385.7394), (50.53746, 180.93953), (48.289997, 15.807644), (98.42741, 194.82614)]","(142.65204930000002, 202.32709140000003)"
33,"[(214.24107, 247.18248), (302.89493, 226.14383), (164.4824, 184.45575), (133.71317, 323.82303), (36.27056, 214.48958), (226.88718, 45.072144), (156.8225, 385.7141), (50.97793, 180.88278), (48.641975, 16.092615), (97.156395, 195.95697)]","(143.208811, 201.98132789999997)"
34,"[(213.67752, 243.81519), (303.23798, 224.68881), (167.85304, 188.14734), (134.347, 323.37808), (36.56104, 214.26068), (227.18187, 44.594055), (157.76524, 385.1732), (50.582283, 179.86923), (49.168484, 16.639442), (95.28996, 196.9368)]","(143.56644169999998, 201.7502827)"
35,"[(213.40884, 241.50302), (303.74557, 222.36194), (165.40536, 183.55089), (134.53246, 323.00974), (37.622395, 214.9976), (226.15532, 43.513786), (159.23186, 384.98727), (49.795, 178.43382), (49.142586, 16.410295), (94.859024, 198.88327)]","(143.38984150000002, 200.7651631)"
36,"[(212.99039, 239.21837), (304.83307, 220.47705), (163.69759, 179.7912), (134.81279, 322.9572), (37.862583, 215.28523), (226.5193, 43.008522), (160.70686, 384.6143), (49.09977, 177.0655), (49.420948, 16.610249), (94.98144, 201.03012)]","(143.4924741, 200.0057741)"
37,"[(212.2058, 236.454), (306.01254, 218.23949), (161.8607, 176.30026), (134.97234, 322.8152), (38.205482, 215.39105), (228.15825, 41.732876), (162.77983, 383.8351), (48.759357, 176.41702), (49.937065, 17.167038), (93.91038, 202.11244)]","(143.6801744, 199.04644740000003)"
38,"[(211.84727, 234.4795), (307.0497, 215.50928), (161.56816, 175.2899), (135.04541, 322.51852), (38.447758, 215.85548), (228.52744, 40.101196), (164.9957, 382.3326), (48.839584, 176.63963), (50.16338, 17.257687), (93.2375, 203.18944)]","(143.9721902, 198.3173233)"
